id,name,terminalName,latestUpdateTime,lastCommWithServer,lat,long,installed,locked,installDate,removalDate,temporary,public,nbBikes,nbEmptyDocks
"158","W 36th Street & W Calhoun Parkway","30166","1461524554232","1461534128505","44.937817","-93.320212","true","false","0","0","false","true","11","8"
"159","Lake Street & West River Parkway","30147","1461531967948","1461534345907","44.948452","-93.206201","true","false","0","0","false","true","9","6"
"160","Dupont Ave S & W 29th Street","30160","1461529766242","1461534106573","44.949699","-93.293129","true","false","0","0","false","true","8","7"
"161","Upton Ave S & Sheridan Ave S","30165","1461506202159","1461534246204","44.92515","-93.314597","true","false","0","0","false","true","8","6"
"162","27th Ave S & Minnehaha Ave","30161","1461527274406","1461534300395","44.947329","-93.233092","true","false","0","0","false","true","7","8"
"163","Coldwater Spring","30153","1461492198295","1461534141772","44.905043","-93.198283","true","false","0","0","false","true","7","8"
"164","46th Street Light Rail Station","30148","1461492117986","1461534242729","44.920466","-93.21953","true","false","0","0","false","true","6","9"
"165","38th Street Light Rail Station","30163","1461492096777","1461534260560","44.93434","-93.229338","true","false","0","0","false","true","7","8"
"166","Cleveland Ave S & Highland Parkway","30164","1461529222415","1461534249689","44.919593","-93.187264","true","false","0","0","false","true","10","5"
"167","11th Ave S & S 2nd Street","30154","1461530328730","1461534328854","44.97673","-93.252189","true","false","0","0","false","true","8","15"
"168","Broadway & Marshall Street NE","30152","1461492171754","1461534331706","44.998613","-93.268633","true","false","0","0","false","true","9","6"
"169","Marshall Street NE & 18th Ave NE","30169","1461524587321","1461534343361","45.006229","-93.271571","true","false","0","0","false","true","7","8"
"170","Boom Island Park","30151","1461492054769","1461534225816","44.99254","-93.270256","true","false","0","0","false","true","5","10"
"171","Mississippi River Blvd & Summit Ave","30162","1461492092404","1461534267621","44.940288","-93.197997","true","false","0","0","false","true","7","8"
"172","University of St. Thomas","30155","1461529971048","1461534324012","44.943017","-93.191837","true","false","0","0","false","true","9","6"
"173","Fort Snelling State Park","30159","1461492184571","1461534255501","44.890527","-93.18237","true","false","0","0","false","true","9","10"
"174","Marshall Street NE & Lowry Ave","30168","1461492171314","1461534156290","45.01312","-93.27166","true","false","0","0","false","true","3","12"
"177","Nicollet Mall & Grant Street","30052","1461531833731","1461534221249","44.96995","-93.278133","true","false","0","0","false","true","7","8"
"180","Lake Street & Knox Ave S","30158","1461525822477","1461534297369","44.9485","-93.305209","true","false","0","0","false","true","21","12"
"183","Nicollet Island","30170","1461492606616","1461534332614","44.985388","-93.26145","true","false","0","0","false","true","3","12"
"184","S 5th Street & Nicollet Mall","30186","1461530231819","1461534250017","44.97866517955856","-93.270503282547","true","false","0","0","false","true","3","16"
"185","S 8th Street & 2nd Ave S","30188","1461530493451","1461534206258","44.974795","-93.270649","true","false","0","0","false","true","4","15"
"186","SE 3rd Ave & University Ave SE","30171","1461503483565","1461534294342","44.985465","-93.252102","true","false","0","0","false","true","5","10"
"187","2nd Street SE & 5th Ave SE","30172","1461527720651","1461534323769","44.983321","-93.249653","true","false","0","0","false","true","4","11"
"188","Sanford Hall","30182","1461504620261","1461534242513","44.980831","-93.240282","true","false","0","0","false","true","13","10"
"189","Delaware Street SE & 26th Ave SE","30189","1461526852873","1461534188374","44.972128","-93.221021","true","false","0","0","false","true","14","5"
"190","Weisman Art Museum","30183","1461526253191","1461534331408","44.973607","-93.237254","true","false","0","0","false","true","7","12"
"191","1st Ave N & 2nd Street N","30179","1446572530866","1460480195764","44.983902","-93.268604","false","true","0","0","false","true","0","4"
"192","3rd Street N & 8th Ave N","30180","1461524815909","1461534281147","44.987996","-93.279854","true","false","0","0","false","true","6","13"
"193","5th Ave N & 4th Street N","30181","1461502811465","1461534313627","44.98446","-93.277234","true","false","0","0","false","true","10","9"
"194","Washington Ave N & Cedar Lake Trail","30176","1461492100121","1461534193075","44.985406","-93.274031","true","false","0","0","false","true","7","12"
"195","Hennepin Ave & S Washington Ave","30184","1461523549524","1461534129028","44.981895","-93.269195","true","false","0","0","false","true","7","16"
"196","Groveland Ave & Clifton Place","30187","1461528587468","1461534266797","44.966145","-93.286294","true","false","0","0","false","true","10","9"
"197","5th Street NE & 1st Ave NE","30178","1461492050463","1461534243093","44.990328","-93.254295","true","false","0","0","false","true","4","11"
"198","5th Street NE & 3rd Ave NE","30185","1461492237008","1461534341088","44.991821","-93.255558","true","false","0","0","false","true","8","7"
"199","3rd Street NE & Lowry Ave NE","30177","1461524246495","1461534276893","45.01304","-93.264573","true","false","0","0","false","true","6","9"
"200","22nd Ave NE & California Street NE","30173","1461492253551","1461534180179","45.010119","-93.268598","true","false","0","0","false","true","7","8"
"201","Hiawatha Ave & E 50th Street","30174","1461492089790","1461534338381","44.91294253601736","-93.21014016866684","true","false","0","0","false","true","7","8"
"202","18th Ave Trail & 2nd Street NE","30175","1461492023481","1461534219749","45.006321","-93.266553","true","false","0","0","false","true","8","7"
